article,subpoint,criteria_text,keywords,quantitative_params
1,,При острых заболеваниях категория годности к воинской службе военнослужащих определяется по окончании лечения в зависимости от степени нарушения функций органов и систем.,,{}
1,1,"Освидетельствуемые по графе I, перенесшие острую форму бруцеллеза или токсоплазмоза менее двенадцати месяцев назад, по подпункту 2) пункта 1 Требований по графам признаются временно не годными к воинской службе для оценки стойкости ремиссии, при рецидиве заключение выносится по подпункту 1) настоящего пункта. Военнослужащие срочной воинской службы после рецидива или острой формы бруцеллеза или токсоплазмоза признаются негодными к воинской службе. При установлении первично-латентного бруцеллеза (положительная реакция Райта, при отсутствии клинических проявлений) призывникам предоставляется отсрочка от призыва на шесть месяцев, поступающие на воинскую службу по контракту и ВУЗ признаются не годными. При хроническом бруцеллезе или токсоплазмозе, освидетельствование проводится по подпункту 1) пункта 1 Требований по графам. Военнослужащие, страдающие хронической дизентерией, а также бактерионосители брюшного тифа, паратифов и сальмонеллеза подлежат стационарному лечению. В случае стойкого бактерионосительства в течение трех месяцев и более освидетельствуются по подпункту 1) настоящего пункта, а освидетельствуемые по графе I по подпункту 2) пункта 1 Требований по графампризнаются временно негодными к воинской службе на шесть месяцев для лечения, при сохраняющемся более шести месяцев подтвержденном лабораторным исследованием бактерионосительстве освидетельствуются по подпункту 1) пункта 1 Требований по графам. При эхинококкозе, альвеококкозе внутренних органов, острых, подострых и хронических формах сепсиса с наличием септикопиемических метастазов, подтвержденных лабораторно-инструментальными методами исследования, категория годности к воинской службе освидетельствуемых по графам I - II определяется по подпункту 1) настоящего пунктанезависимо от локализации первичного очага и результатов лечения. Категория годности к воинской службе освидетельствуемых по графе III при осложненном либо рецидивирующем эхинококкозе, альвеококкозе внутренних органов, острых, подострых и хронических формах сепсиса с наличием септикопиемических метастазов, подтвержденных лабораторно-инструментальными методами исследования, определяется по подпункту 1) настоящего пункта. Военнослужащие срочной воинской службы, переболевшие вирусным гепатитом В, С, Д тяжелой степени, с затяжным течением, внепеченочными проявлениями (аутоиммунный тиреоидит, синдром Шегрена, лимфоцитарный сиаладенит), микст-гепатитами признаются негодными к воинской службе. Военнослужащие срочной воинской службы, переболевшие вирусным гепатитом легкой и средней степени тяжести, признаются негодными к работе с вредными факторами, к прохождению воинской службы в ДШВ, ЧСН и водолазным работам. Военнослужащие, освидетельствуемые по графе IV, перенесшие вирусный гепатит, брюшной тиф, паратифы неосложненной легкой или среднетяжелой формы, признаются временно не годными к совершению парашютных прыжков, водолазным работам и к работе с вредными факторами, с повторным освидетельствованием через шесть месяцев. По истечении этого срока указанные лица допускаются к парашютным прыжкам, водолазным работам и к работе с вредными факторами, при отсутствии нарушений функций печени и желудочно-кишечного тракта. Военнослужащие, освидетельствуемые по графе IV перенесшие вирусный гепатит, брюшной тиф, паратифы тяжелой формы и (или) с затяжным течением, признаются временно не годными к совершению парашютных прыжков, водолазным работам и к работе с вредными факторами, с повторным освидетельствованием через двенадцать месяцев. При этом военнослужащие к водолазным работам допускаются на глубинах до 60 метров, погружение на глубину более 60 метров разрешается не ранее чем через год после освидетельствования. Выявление поверхностного антигена вирусного гепатита В и антител к вирусу гепатита С является основанием для детального обследования в целях исключения скрыто протекающего хронического вирусного гепатита. Граждане (военнослужащие), после подтверждения хронического вирусного гепатита, освидетельствуются по пункту 58требований по графам с учетом степени активности и наличии нарушений функций печени. Бессимптомное (неактивное) носительство маркеров вирусных гепатитов В или С, подтвержденные результатами дополнительных методов обследования (в том числе УЗИ, ИФА, ПЦР) не является основанием для применения пунктов требований по графам. Граждане, поступающие в ВУЗ, переболевшие вирусным гепатитом, брюшным тифом, паратифами в легкой степени при отсутствии у них нарушений функций печени и желудочно-кишечного тракта, признаются годными к поступлению в ВУЗ не ранее чем через шесть месяцев после окончания лечения. Военнослужащие, перенесшие тяжелые формы тифа, паратифов, геморрагических лихорадок, риккетсиозов, зоонозных инфекций, а также при развитии осложнений заболевания (кишечная перфорация, кишечное кровотечение, пневмония с парапневмоническим плевритом), независимо от степени тяжести заболевания, когда после лечения сохраняется стойкая астенизация, освидетельствуются по подпункту 1) пункта 1 Требований по графам. Военнослужащие, проходящие воинскую службу по контракту, офицеры, проходящие воинскую службу по призыву, после хирургического лечения, либо осложнений заболеваний, указанных в настоящем пункте, освидетельствуются после завершения лечения и реабилитации по соответствующим пунктам требований по графам с учетом нарушений функций органа и системы. При тяжелых осложнениях со стороны центральной нервной системы, сердечно-сосудистой, костно-суставной освидетельствуются дополнительно по соответствующим пунктам требовании по графам, в зависимости от поражения органов и систем.","альвеококкоз, бруцеллез, гепатит, кровотечение, метастаз, печеночный, плеврит, пневмония, сепсис, сердечный, тиреоидит, токсоплазмоз, эхинококкоз","{""depth_m"": 60, ""count_more_than"": 60}"
1,2,"Заключение о необходимости предоставления отпуска по болезни выносится только в случаях тяжелого или осложненного течения заболевания при сохранении астенизации после госпитального лечения, когда для оценки стойкости остаточных изменений и полного восстановления способности освидетельствуемого исполнять обязанности воинской службы требуется срок не менее месяца. В отношении военнослужащих, перенесших заболевание легкой или среднетяжелой неосложненной формы, заключение о необходимости предоставления отпуска по болезни не выносится. Восстановительное лечение данной категории завершается в военно-медицинских (медицинских) подразделениях. Курсанты и слушатели ВУЗ после госпитального лечения по поводу легких форм вирусного гепатита, брюшного тифа и паратифов выписываются с рекомендациями об освобождении от некоторых видов работ, суточных дежурств, физической подготовки. Граждане, перенесшие острый вирусный гепатит, брюшной тиф и паратифы, при призыве на воинскую службу или поступлении на воинскую службу по контракту признаются временно не годными к воинской службе на шесть месяцев после окончания стационарного лечения.",гепатит,{}
2,1,все формы активного туберкулеза органов дыхания с наличием бактериовыделения и (или) распада; формы активного туберкулеза органов дыхания с выраженными симптомами интоксикации,"бактериовыделение, распад, туберкулез","{""bacteria_excretion"": true, ""decay"": true}"
2,1,"большие остаточные изменения легких и плевры со смещением средостения, сопровождающиеся дыхательной (легочной) недостаточностью II степени; мультирезистентные формы туберкулеза, а также последствия хирургического лечения, с дыхательной (легочной) недостаточностью II степени","дыхательный, недостаточность, туберкулез","{""degree"": 2}"
2,1,эмпиема плевры; фистулезные (свищевые) поражения бронхов.,эмпиема,{}
2,2,все формы активного туберкулеза органов дыхания без выделения микобактерий туберкулеза и распада; трансформированные в процессе лечения тонкостенные кистоподобные полости (заживление каверны по открытому типу),"каверна, полость, распад, туберкулез","{""decay"": true}"
2,2,"последствия хирургического лечения, с дыхательной (легочной) недостаточностью I степени; большие остаточные изменения легких и плевры, сопровождающиеся дыхательной (легочной) недостаточностью I степени. К большим остаточным изменениям относятся: множественные (5 и более) компоненты первичного комплекса (очаг Гона и кальцинированные лимфатические узлы) размером менее 1 сантиметра, единичный и (или) множественные компоненты первичного комплекса (очаг Гона и кальцинированные лимфатические узлы) размером 1 сантиметр и более","дыхательный, недостаточность","{""count_min"": 5, ""degree"": 1, ""size_cm"": 1.0, ""size_cm_less_than"": 1.0, ""count_less_than"": 1}"
2,2,"множественные (5 и более) интенсивные, четко очерченные очаги размером менее 1 сантиметра; единичные и (или) множественные интенсивные, четко очерченные очаги размером 1 сантиметр и более и фокусы",,"{""count_min"": 5, ""size_cm"": 1.0, ""size_cm_less_than"": 1.0, ""count_less_than"": 1}"
2,2,распространенный фиброз (более двух сегментов); цирротические изменения любой протяженности,фиброз,{}
